%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
74.0, -133701.56391877698, -131576.91884957778, -130822.25690153324, -131691.13626374438, -124876.04467583237, -131180.3094959628, -107826.22341230196, -163110.9387410806, -133798.86106239093, -131762.72890123475, -131925.6954700584, -132561.4014341118, -133209.71378203796, -76157.89188836717, -133090.914260258, -129337.76579353402, 0.093, 0.877, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070312293E9, 0.0, 2024-04-26 12:01:47.031
76.0, -133689.31516281547, -131561.8537738149, -130811.43865721687, -131679.02161824962, -124865.56170768282, -131167.70311209, -107827.51981348036, -163112.72688063706, -133823.00094640267, -131785.48297709026, -131948.53895289171, -132583.82023380045, -133233.92072128307, -76167.63724894969, -133114.3835919361, -129360.5869246229, 0.093, 0.877, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070312417E9, 0.0, 2024-04-26 12:01:47.031
78.0, -133657.3968717333, -131546.6992910742, -130781.39791266894, -131647.6621207788, -124833.37519566718, -131136.47772508595, -107832.1019210937, -163117.62191267277, -133779.99619007067, -131743.5064010032, -131906.29415587118, -132541.84365771338, -133190.8936132066, -76162.4739959805, -133072.33996061565, -129319.3256043584, 0.093, 0.877, 0.47000000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070312536E9, 0.0, 2024-04-26 12:01:47.031
80.0, -133647.8526768509, -131521.30770937298, -130767.36101715101, -131636.821524718, -124822.55695135081, -131126.12886740314, -107828.25742104738, -163113.8444678598, -133760.19254448326, -131722.80868563757, -131886.49051028377, -132522.50939875955, -133171.26878157482, -76167.88311813869, -133051.4634312944, -129299.05257213743, 0.0955, 0.8745, 0.47100000000000003, 192.0, 1.5, 8.0, 13.5, 32.0, 7.0, 96.0, 0.0, 0.0, 0.0, 1.7141509070312655E9, 0.0, 2024-04-26 12:01:47.031
82.0, -133685.58242149145, -131561.60790462588, -130807.50475019275, -131676.1382432149, -124861.4266349586, -131165.9149725336, -107831.78899667133, -163117.62191267277, -133779.59385867047, -131743.28288355863, -131906.36121110455, -132542.40245132477, -133190.8936132066, -76161.46816748002, -133070.28360012575, -129317.35865084633, 0.0955, 0.8745, 0.47100000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070312774E9, 0.0, 2024-04-26 12:01:47.031
84.0, -133670.13736607283, -131544.82174453995, -130791.9702877963, -131660.60378081843, -124847.09916676274, -131149.7546612924, -107831.34196178222, -163117.01841557247, -133796.4917774787, -131760.22550585575, -131923.12501944602, -132558.42865209922, -133207.83623550372, -76170.07358909531, -133087.94147824546, -129335.30710164394, 0.0955, 0.8745, 0.47100000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031289E9, 0.0, 2024-04-26 12:01:47.031
86.0, -133651.2054385192, -131536.1939711802, -130775.16177596591, -131641.44833582026, -124827.89901827562, -131131.18036165004, -107832.1019210937, -163118.2030580286, -133770.3625882104, -131733.47046774274, -131896.57114703313, -132531.7853727085, -133181.77410146882, -76160.30587676834, -133061.56641978817, -129308.99909842004, 0.0955, 0.8745, 0.47100000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070313065E9, 0.0, 2024-04-26 12:01:47.031
88.0, -133632.76524934356, -131511.07061041245, -130752.8100315106, -131622.00231814414, -124808.36359362169, -131111.689640485, -107834.38179902814, -163119.9464940961, -133747.42969839927, -131710.80579886507, -131874.19705083335, -132509.4783317421, -133159.0200256133, -76168.82189140581, -133039.52759975524, -129287.38496153176, 0.0955, 0.8745, 0.47100000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714150907031318E9, 0.0, 2024-04-26 12:01:47.031
90.0, -133645.9527785722, -131526.87329374233, -130769.618543341, -131635.65923400634, -124822.02050948389, -131125.59242553622, -107836.08053160674, -163122.2934272639, -133761.26542821713, -131723.97097634923, -131887.16106261744, -132523.00113713756, -133172.56518275323, -76163.7703971589, -133050.83758244963, -129298.18085410367, 0.09875, 0.8732500000000001, 0.47150000000000003, 192.0, 1.5, 24.0, 13.5, 32.0, 7.0, 96.0, 0.0, 0.0, 0.0, 1.7141509070313303E9, 0.0, 2024-04-26 12:01:47.031
92.0, -133611.77696130003, -131496.85490093887, -130734.88393245745, -131601.23754754514, -124788.29172710082, -131091.12603558615, -107837.42163627407, -163122.87457261977, -133746.17800070977, -131709.21882500875, -131872.29715255465, -132507.5784334634, -133157.4777552459, -76172.7334466855, -133036.73363169833, -129285.0156766195, 0.09875, 0.8732500000000001, 0.47150000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141509070313425E9, 0.0, 2024-04-26 12:01:47.031
