%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
244.0, -164368.38082890282, -162460.12299777544, -161355.76800772763, -162187.1858462317, -153934.31829623203, -161491.376041338, -164979.7457432444, -185839.9135875599, -164206.01775717948, -162125.56208676842, -162679.08068645964, -162844.5282989178, -163853.19547095246, -117755.60590691637, -163448.89711724487, -160175.39473478732, 0.11, 0.8365, 0.226, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712254877E9, 0.0, 2024-04-26 12:06:11.225
246.0, -164217.7524230185, -162336.04846430404, -161204.22318032067, -162032.6905885566, -153780.4935908906, -161337.05959761853, -164948.94503938497, -185834.59387237954, -164129.77595684244, -162049.32028643135, -162604.135287301, -162768.9123474255, -163776.12665607056, -117752.9460493262, -163381.48425596766, -160106.50665837608, 0.119, 0.8952500000000001, 0.242, 192.0, 2.0, 0.0, 14.5, 104.0, 4.0, 8.0, 0.0, 0.0, 0.0, 1.7141511712255058E9, 0.0, 2024-04-26 12:06:11.225
248.0, -164358.45665436468, -162428.47292762672, -161332.45513826076, -162168.8350640339, -153913.26295295512, -161473.67345972938, -164918.79253611478, -185827.97775602076, -164157.9391548561, -162075.82945535536, -162630.84562192508, -162801.434135608, -163803.37343256158, -117742.93246781021, -163397.57751197548, -160125.68445511872, 0.119, 0.8952500000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712255228E9, 0.0, 2024-04-26 12:06:11.225
250.0, -164558.8400434065, -162599.5755314321, -161519.58394284057, -162364.6139937179, -154105.39854829296, -161670.0558865137, -164900.9111405505, -185832.98454677875, -164274.25763300154, -162192.63967187877, -162747.92405938197, -162920.59128529922, -163919.40133802907, -117756.61173541687, -163514.20891454327, -160242.80759606452, 0.119, 0.8952500000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71415117122554E9, 0.0, 2024-04-26 12:06:11.225
252.0, -164314.64723523226, -162445.28143945712, -161317.56887645353, -162126.74672922454, -153879.57887406097, -161429.23819175223, -164864.29898313273, -185822.90391002942, -164375.6451458508, -162294.34010915042, -162850.87619434312, -163021.24119058147, -164020.8559061117, -117758.75750288457, -163622.5254681737, -160348.64310606042, 0.119, 0.8952500000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712255573E9, 0.0, 2024-04-26 12:06:11.225
254.0, -164054.07059837232, -162187.96815728763, -161031.44419568114, -161858.72696146095, -153604.94298993863, -161164.12415076784, -164827.7538809483, -185816.1536832039, -163952.9960099454, -161871.48980754495, -162428.11529971546, -162597.85444710904, -163597.357403917, -117722.90530477827, -163206.49244862705, -159934.26411560347, 0.119, 0.8952500000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171225575E9, 0.0, 2024-04-26 12:06:11.225
0.0, -164379.89197729732, -162412.80435476356, -161337.64074297438, -162183.3860496743, -153924.21530773822, -161489.118515148, -164804.82099113715, -185814.6561163254, -164063.83831069927, -161980.25339606445, -162535.33661786755, -162711.3119019642, -163708.08794594862, -117722.57002861143, -163296.63703401532, -160027.29207602647, 0.119, 0.8952500000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171225593E9, 0.0, 2024-04-26 12:06:11.225
2.0, -164191.19855060562, -162312.5567808815, -161180.41857247576, -161999.61000676276, -153749.53642482002, -161304.13547803587, -164785.71024962788, -185811.92920350184, -164168.69034393912, -162086.06655431588, -162641.9320871749, -162812.52060085782, -163813.29760709972, -117727.46506064714, -163416.8670674404, -160141.84476635992, 0.124, 0.9580000000000001, 0.254, 192.0, 1.5, 112.0, 14.5, 120.0, 3.5, 120.0, 0.0, 0.0, 0.0, 1.7141511712256103E9, 0.0, 2024-04-26 12:06:11.225
4.0, -164320.52574402402, -162379.65671773633, -161288.578663895, -162126.88083969126, -153871.68870826825, -161432.4121394649, -164768.76762733076, -185806.5647848326, -164092.984985469, -162009.7800504899, -162564.9079757819, -162737.93282961045, -163737.81576607417, -117711.37180463932, -163331.21518268768, -160060.01502990903, 0.124, 0.9580000000000001, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712256267E9, 0.0, 2024-04-26 12:06:11.225
6.0, -164428.4623179987, -162493.47180050277, -161397.9010460259, -162235.800890422, -153978.32888106452, -161541.6674663624, -164771.6957058544, -185813.67263956938, -164217.19362940712, -162134.65924676173, -162689.42954414245, -162861.06858981473, -163862.40438966805, -117717.29501691998, -163458.46366387175, -160185.3189093255, 0.124, 0.9580000000000001, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511712256424E9, 0.0, 2024-04-26 12:06:11.225
0.0, -53814.328171530746, -53191.04977739451, -52339.47066539177, -52726.35701016868, -48654.450315767564, -52367.276235494166, -82666.85398421931, 0.0, -162905.1015263917, -162141.07419742038, -162499.1491435944, -163086.82120881334, -140627.43075220953, -140406.61786873554, -161553.96092581283, -79970.0266087087, 0.119, 0.9570000000000001, 0.268, 192.0, 1.5, 72.0, 14.5, 112.0, 4.0, 104.0, 0.0, 0.0, 0.0, 1.7141511712256632E9, 0.0, 2024-04-26 12:06:11.225
4.0, -179830.11064888368, -148622.71679910622, -141463.09542216008, -150316.86727009623, -45179.67047448998, -142751.82995221973, 187500.0, 0.0, -112839.36206571605, -109721.42782466744, -108857.39879100308, -110436.34837107043, -101995.23442926818, -109835.98051500089, -165596.9891663777, 0.0, 0.113, 0.9490000000000001, 0.28, 192.0, 3.0, 136.0, 29.0, 168.0, 8.0, 192.0, 0.0, 0.0, 0.0, 1.7141511712256787E9, 0.0, 2024-04-26 12:06:11.225
0.0, -50932.7189246081, -26101.294291173734, -12674.46728640405, -22158.62538321321, 77422.79945883746, -13412.879516229572, 8296.699320876518, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10200000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 1.5, 24.0, 14.5, 72.0, 4.0, 104.0, 0.0, 0.0, 0.0, 1.7141511715783515E9, 0.0, 2024-04-26 12:06:11.578
2.0, -50952.20964577313, -25876.97218382027, -12649.545091336382, -22154.33384827779, 77412.11532498781, -13417.662789543008, 8411.721397843528, 0.0, -50945.235901503074, -25922.54739076464, -12633.02715218391, -22156.43491225659, 77414.59636862235, -13412.857164485118, 8351.349336069743, 0.0, 0.10200000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715784814E9, 0.0, 2024-04-26 12:06:11.578
4.0, -50932.115427507815, -26116.940512292447, -12679.474077162038, -22141.056912071337, 77427.33686296188, -13410.376120850578, 8289.345596950721, 0.0, -50941.99489855706, -26032.361511273564, -12687.163077254663, -22154.132682577692, 77417.65855761273, -13420.255591899824, 8360.737068740973, 0.0, 0.10200000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715785615E9, 0.0, 2024-04-26 12:06:11.578
6.0, -50949.95211958315, -25865.88571857044, -12647.667544802136, -22154.177386066604, 77400.4700661266, -13423.317780890202, 8409.441519909087, 0.0, -50943.20189275764, -25953.3257428796, -12638.659791786647, -22146.53308946289, 77412.6741185992, -13414.377083108078, 8334.496120750442, 0.0, 0.10200000000000001, 0.9460000000000001, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171578606E9, 0.0, 2024-04-26 12:06:11.578
8.0, -50922.45947390312, -26105.004680753314, -12678.714117850557, -22133.122042789706, 77419.31258670242, -13404.430556825466, 8315.385379241156, 0.0, -50935.08820952037, -25991.2343014758, -12677.93180679462, -22149.282354030893, 77412.38354592127, -13416.254629642324, 8373.99165320297, 0.0, 0.106, 0.9460000000000001, 0.28, 192.0, 1.5, 40.0, 14.5, 72.0, 4.0, 96.0, 0.0, 0.0, 0.0, 1.7141511715786495E9, 0.0, 2024-04-26 12:06:11.578
10.0, -50934.79763684245, -25853.16757597537, -12626.366332336227, -22127.66821714261, 77419.96078729162, -13396.607446266109, 8411.14025248769, 0.0, -50934.10473276433, -25972.794112300173, -12631.26136437194, -22118.861629827217, 77419.15612449123, -13396.853315455117, 8347.437780790066, 0.0, 0.106, 0.9460000000000001, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715786855E9, 0.0, 2024-04-26 12:06:11.578
12.0, -50911.88709877576, -26099.617910339584, -12674.087306748308, -22123.66725488511, 77436.523429933, -13392.807649708708, 8308.903373349116, 0.0, -50915.44102614415, -25960.523004594208, -12658.888120518699, -22130.976275321995, 77430.93549381918, -13394.439327053944, 8366.302653110344, 0.0, 0.106, 0.9460000000000001, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.714151171578709E9, 0.0, 2024-04-26 12:06:11.578
14.0, -50940.38557295628, -25852.54172713062, -12621.650114256157, -22131.624475911198, 77417.79266807946, -13393.008815408804, 8403.652418095162, 0.0, -50924.51583439301, -26010.412098218454, -12635.59760279627, -22114.793612336354, 77432.61187465333, -13383.285806570746, 8314.334847251755, 0.0, 0.106, 0.9460000000000001, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7141511715787327E9, 0.0, 2024-04-26 12:06:11.578
