Timestamps,Signal
1,0.15067230570233503
2,0.154908096656743
3,0.15897381943660907
4,0.1628025443761655
5,0.1663256871406938
6,0.16947478480747685
7,0.17218348046937867
8,0.17438966013337232
9,0.1760376661491415
10,0.1770804983342957
11,0.17748190361927127
12,0.17721824402525188
13,0.1762800321242316
14,0.1746730295401355
15,0.17241881164360454
16,0.16955472244094427
17,0.16613316653062032
18,0.1622202147767265
19,0.1578935383492491
20,0.15323972419151002
21,0.14835106203715953
22,0.14332193214120567
23,0.13824495551106047
24,0.13320709163041017
25,0.12828588781781347
26,0.12354608339327375
27,0.11903676782570677
28,0.11478926798506604
29,0.11081590706101158
30,0.10710973165761362
31,0.10364524958145982
32,0.10038015820419836
33,0.09725799063361874
34,0.0942115404936215
35,0.09116687649130989
36,0.08804771947432259
37,0.08477992904430454
38,0.08129582549470404
39,0.07753809174963548
40,0.07346302067875579
41,0.06904291432307709
42,0.06426749407531542
43,0.0591442531038054
44,0.05369774342733384
45,0.04796786756123066
46,0.04200730556109074
47,0.035878270774453824
48,0.029648822666515404
49,0.02338899627965685
50,0.017167007621228043
51,0.011045787132915999
52,0.005080057892563384
53,-0.0006858736409006919
54,-0.006219504932162006
55,-0.011500654756060345
56,-0.01652113626764605
57,-0.021283677955479044
58,-0.02580023160165053
59,-0.03008985062608146
60,-0.03417635276545197
61,-0.03808598179706429
62,-0.041845268569766336
63,-0.045479263023681216
64,-0.04901026455553641
65,-0.052457121676521314
66,-0.055835112760189626
67,-0.05915635652327665
68,-0.06243064959702925
69,-0.06566658079631832
70,-0.06887274289090427
71,-0.07205884994248989
72,-0.07523657948757431
73,-0.07841997855226043
74,-0.08162532037758041
75,-0.08487035396067193
76,-0.0881729495205043
77,-0.09154920744737986
78,-0.09501116711807929
79,-0.09856430265683572
80,-0.10220503076957141
81,-0.10591847942392908
82,-0.10967676858447419
83,-0.11343803092509193
84,-0.11714635999453347
85,-0.12073281102761838
86,-0.12411750760139502
87,-0.1272128245945105
88,-0.129927531094795
89,-0.13217169386500918
90,-0.1338620736260301
91,-0.13492769159267257
92,-0.13531520620050572
93,-0.13499373123494857
94,-0.13395874626549795
95,-0.13223478999466215
96,-0.12987668668902647
97,-0.1269691421963337
