Timestamps,Signal
1,-0.002184245018139472
2,0.005343433861497855
3,0.012662627690222326
4,0.01963294959209673
5,0.02612274550022742
6,0.032012922081868775
7,0.03720035424686797
8,0.041600700899524154
9,0.045150486376479546
10,0.047808335783443984
11,0.049555302473397886
12,0.05039427789910516
13,0.05034852684353681
14,0.049459445118349196
15,0.04778368742421336
16,0.04538984844217978
17,0.04235490783721124
18,0.03876066299248406
19,0.03469037073231197
20,0.03022579478177176
21,0.025444828796652823
22,0.02041981128378804
23,0.015216598334383635
24,0.009894397108266373
25,0.0045063009112261115
26,-0.0008995916228177353
27,-0.006278632851075527
28,-0.011587859918805322
29,-0.016784225868843004
30,-0.021823049566935662
31,-0.026656892144697946
32,-0.031235036695913446
33,-0.03550369768822251
34,-0.039407026394773705
35,-0.04288891476146973
36,-0.04589552767895108
37,-0.048378422133495254
38,-0.05029805715736961
39,-0.05162744812372859
40,-0.05235568221646088
41,-0.05249099782930243
42,-0.05206314164569736
43,-0.0511247439261112
44,-0.04975149984943771
45,-0.04804101271805457
46,-0.04611023536472809
47,-0.0440915391956419
48,-0.04212752426968057
49,-0.040364780219302565
50,-0.03894688985221974
51,-0.038007041004229344
52,-0.037660655653607926
53,-0.037998479128367055
54,-0.039080572865534284
55,-0.04093162684923234
56,-0.04353795214230568
57,-0.046846439280206764
58,-0.05076566930202582
59,-0.05516924455604761
60,-0.05990127706450656
61,-0.06478384354947561
62,-0.06962608473938842
63,-0.07423450584929757
64,-0.07842394171896365
65,-0.08202857490494977
66,-0.08491235278460042
67,-0.08697814684054381
68,-0.08817503255314096
69,-0.08850313674705027
70,-0.08801561090269455
71,-0.08681743303408716
72,-0.08506090608433618
73,-0.08293790733231915
74,-0.080669137699061
75,-0.07849081127241575
76,-0.07663940053008346
77,-0.07533520165042139
78,-0.07476560395240671
79,-0.07506901604760746
80,-0.07632042191541002
81,-0.0785195015059602
82,-0.08158216182513091
83,-0.08533617826256343
84,-0.08952145562218157
85,-0.09379518728832233
86,-0.09774193607097603
87,-0.10088839095422986
88,-0.1027222851069578
89,-0.10271471062776377
90,-0.10034484915703276
91,-0.09512596656267189
92,-0.08663140938883988
93,-0.07451928873474287
94,-0.05855456443791097
95,-0.03862733292724732
96,-0.014766284528091856
97,0.012853487147015931
98,0.04390886668076575
99,0.07793353342621634
100,0.11432914196109734
101,0.15238247195182175
102,0.1912878514842497
103,0.2301738963758519
104,0.2681333912674907
105,0.30425497917246774
106,0.33765524554539167
107,0.36750977078105085
108,0.3930817891888421
109,0.4137472213655542
110,0.42901504128660684
111,0.4385421815181555
112,0.44214245727550255
113,0.4397892860617669
114,0.43161228073559327
115,0.41788807486322893
116,0.3990259946666727
117,0.3755494091011509
118,0.34807374755268783
119,0.3172822827656751
120,0.28390081853874993
121,0.2486724086956923
122,0.2123331557210919
123,0.17559002710784416
124,0.13910145815360864
125,0.10346132650548
126,0.06918668567785878
127,0.03670943951727758
128,0.006371932436835247
129,-0.021573740724352444
130,-0.046963055974807086
131,-0.0697134850600642
132,-0.0898165815958884
133,-0.10732833130521605
134,-0.12235837959284736
135,-0.13505872978457142
136,-0.14561245623708735
137,-0.1542229017853047
138,-0.1611037462097149
139,-0.16647023758197238
140,-0.17053178009928668
141,-0.17348597966473742
142,-0.1755141715074897
143,-0.17677837777875455
144,-0.17741958507619293
145,-0.17755719339536952
146,-0.17728946248875546
147,-0.17669476471060272
148,-0.17583345075257595
149,-0.17475014731544655
150,-0.17347632099460722
151,-0.17203296037530125
152,-0.17043324491193212
153,-0.1686850936222949
154,-0.16679350550810332
155,-0.1647626178961425
156,-0.16259742993255344
157,-0.1603051535065459
158,-0.15789616578233392
159,-0.15538455286293468
160,-0.15278824601242919
161,-0.150128767599787
162,-0.1474306163197598
163,-0.14472034038013526
164,-0.1420253619923094
165,-0.1393726284606589
166,-0.13678717947186098
167,-0.13429072768355224
168,-0.13190035181553078
169,-0.12962739744584006
170,-0.12747667502462268
171,-0.12544602627948911
172,-0.12352630934689506
173,-0.12170182461999246
174,-0.11995117356677475
175,-0.11824851046527596
176,-0.11656511611348383
177,-0.11487119570165774
178,-0.1131377837242728
179,-0.1113386233733683
180,-0.10945188592047896
181,-0.10746159905033859
182,-0.10535867802626968
183,-0.10314147395710078
184,-0.10081578987624065
185,-0.0983943583583539
186,-0.09589581401259759
187,-0.09334323278718598
188,-0.09076235396190793
189,-0.08817962640322241
190,-0.08562023440888696
191,-0.08310627182450436
192,-0.08065522150529192
193,-0.078278869641103
194,-0.07598275907362544
195,-0.07376624010293326
196,-0.07162312434535548
197,-0.06954289486375403
198,-0.06751237889347661
199,-0.06551773798684507
200,-0.0635466005871531
201,-0.06159014136970855
202,-0.05964490169148054
203,-0.057714162067564245
204,-0.05580870718829881
205,-0.05394686219124188
206,-0.052153737535441606
207,-0.05045969031111291
208,-0.04889806962480389
209,-0.04750238139569591
210,-0.04630306918924538
211,-0.04532415177373265
212,-0.044579981186265515
213,-0.04407239750754454
214,-0.04378854483943148
215,-0.04369957900472492
216,-0.04376044237904603
217,-0.04391081110307656
218,-0.04407724052914123
219,-0.044176442826011096
220,-0.04411954691093158
221,-0.043817105344061184
222,-0.043184551292553164
223,-0.0421477560407335
224,-0.04064831648587044
225,-0.03864819365394014
226,-0.036133356748338494
227,-0.033116138573858984
228,-0.029636084962444596
229,-0.02575916435201437
230,-0.021575316456382318
231,-0.01719442541673768
232,-0.012740910759913841
233,-0.008347223406424558
234,-0.004146617379057216
235,-0.0002656230153700045
236,0.0031833200183428714
237,0.006108613460351287
238,0.008445206029414312
239,0.010158879776289766
240,0.01124883076599592
241,0.011748361527693938
242,0.011723613960911768
243,0.011270397111477181
244,0.01050928593562347
245,0.009579271191871862
246,0.008630334305870464
247,0.007815391694140316
248,0.00728209145126598
249,0.007164952845802691
250,0.007578316056576759
251,0.008610523050647606
252,0.010319668710787612
253,0.01273115788106811
254,0.015837189299103778
255,0.019598168722891503
256,0.02394592605882319
257,0.028788503996931263
258,0.034016188526970643
259,0.03950837708110979
260,0.04514083503548891
261,0.0507928718200331
262,0.056353981625826804
263,0.06172953911384695
264,0.06684521130435614
265,0.07164983471082792
266,0.07611661294418055
267,0.08024260830973834
268,0.08404660975274561
269,0.08756556517995988
270,0.09084986195853818
271,0.09395780974909072
272,0.09694972551483387
273,0.0998820407236645
274,0.10280184202346031
275,0.1057422174962525
276,0.10871872271690627
277,0.11172719736456488
278,0.11474306900191071
279,0.11772217851079177
280,0.1206030581611285
281,0.12331050033336727
282,0.12576016386825317
283,0.12786390631247352
284,0.12953548208096793
285,0.13069622752804874
286,0.13128035849536193
287,0.13123953781704556
288,0.13054641735871872
289,0.12919693512308353
290,0.1272112270216209
291,0.12463309769124889
292,0.1215280919382677
293,0.11798029419130973
294,0.11408805249212585
295,0.10995889125603212
296,0.1057039228820726
297,0.1014320875825275
298,0.09724455459257039
299,0.09322960284415151
300,0.08945826189875732
301,0.08598094180810534
302,0.0828252211723703
303,0.07999488586265002
304,0.07747024279919028
305,0.0752096580477842
306,0.07315219889012325
307,0.07122120252055018
308,0.06932855392867121
309,0.06737941958289037
310,0.06527716887424484
311,0.06292821962628974
312,0.06024655772261013
313,0.05715770545660166
314,0.05360195644047774
315,0.049536740146130104
316,0.04493803633699009
317,0.039800813362819085
318,0.0341385187024591
319,0.027981701592038964
320,0.021375893325280587
