Timestamps,Signal
1,-0.09768308792827973
2,-0.08856430135711604
3,-0.08690518936815482
4,-0.07835022650744061
5,-0.07506699841168082
6,-0.07696559975811304
7,-0.07078261306963536
8,-0.07562629789790648
9,-0.0777138535100734
10,-0.07634769658243407
11,-0.08290763984303132
12,-0.08555409837619847
13,-0.09447994918358742
14,-0.09541294888003302
15,-0.10321053938276628
16,-0.11099403759520375
17,-0.11749077904354233
18,-0.12176094243836352
19,-0.13369824822124882
20,-0.13947883077899637
21,-0.14544743099150778
22,-0.15410132502483778
23,-0.16426789031137776
24,-0.16856271397055556
25,-0.17627541992201484
26,-0.18822277743792923
27,-0.18858437763932306
28,-0.20150385285031278
29,-0.20561487125502076
30,-0.21368464136351967
31,-0.2173446143100403
32,-0.22541865208428308
33,-0.2301002146782863
34,-0.23837607323573007
35,-0.23840452278313984
36,-0.2469467916587763
37,-0.2482471430005704
38,-0.25400099231818907
39,-0.2585035961189563
40,-0.26185653082578175
41,-0.26292974636425814
42,-0.26795922378249404
43,-0.27423496552190885
44,-0.2724550136563181
45,-0.27869366870583917
46,-0.2830191553809458
47,-0.2862875739138612
48,-0.28951038904357185
49,-0.2947510540441885
50,-0.29931726778186657
51,-0.30400804110438717
52,-0.3089475470359827
53,-0.31641708112134304
54,-0.31548340015248877
55,-0.32998334398380724
56,-0.32997574652694617
57,-0.33449366168508954
58,-0.3451458985967002
59,-0.34435671993872946
60,-0.35335058261434615
61,-0.3556867092374486
62,-0.35963372856538245
63,-0.36327219636432734
64,-0.36456232832189006
65,-0.3682270759824018
66,-0.36650827187055857
67,-0.36828446830327444
68,-0.3662243803138633
69,-0.3665604580021117
70,-0.3625443577196471
71,-0.3579565004295019
72,-0.3558696591179462
73,-0.3547989223959309
74,-0.34388858296016894
75,-0.34164535623896986
76,-0.33780396089517517
77,-0.3322572686252129
78,-0.3268890044558991
79,-0.32191457117124717
80,-0.3184138309499064
81,-0.31895775937220083
82,-0.3117166173642205
83,-0.30941780829920984
84,-0.3116107466610421
85,-0.31332827921890494
86,-0.3115808881469989
87,-0.3116990859653417
88,-0.31712153868257104
89,-0.31828134916530454
90,-0.32312962390288996
91,-0.32651098701695513
92,-0.3290412197810564
93,-0.3323322927297933
94,-0.3351459495878565
95,-0.33768674843884083
96,-0.33882268838176427
97,-0.33757833009124383
98,-0.336053227199445
99,-0.3352628638005094
100,-0.32645193249410764
101,-0.3239368182494222
102,-0.31425486376904377
103,-0.3040264464020618
104,-0.2951354766845017
105,-0.2800485472207077
106,-0.267091909296426
107,-0.25241892790631587
108,-0.23944410485685594
109,-0.21885910446156498
110,-0.20597243882734795
111,-0.19055957548115685
112,-0.17230220472320737
113,-0.16240322872275198
114,-0.1472108558436979
115,-0.13159564517871894
116,-0.12431732596666209
117,-0.11503797367334406
118,-0.10795743053515958
119,-0.098934477516959
120,-0.0983056045416951
121,-0.0939916937944356
122,-0.09206810969632609
123,-0.09380185101897057
124,-0.09517655975710107
125,-0.09659476805449753
126,-0.09837665589276393
127,-0.10333844316837537
128,-0.1049448723047037
129,-0.10933608500953523
130,-0.1113650716950781
131,-0.11357958523159564
132,-0.11203085496313923
133,-0.11616381754490396
134,-0.11527933656517261
135,-0.10666103452567427
136,-0.1081125343148384
137,-0.10475448144247473
138,-0.093127776347932
139,-0.08667151407448045
140,-0.08000015121369206
141,-0.06465684230811636
142,-0.058264737232740185
143,-0.04298084510421645
144,-0.026606430831134023
145,-0.016031835309867057
146,0.0009422760547967203
147,0.016378561428840102
148,0.03317515173034561
149,0.05006909801889847
150,0.06621282186632022
151,0.0824162653286748
152,0.1018754098619313
153,0.11635779170063601
154,0.1336225511223813
155,0.14969660080443303
156,0.16557016012428594
157,0.18204184105469395
158,0.19421498693423983
159,0.21148862436745455
160,0.22084613161099637
161,0.23455671053878135
162,0.24914096615638703
163,0.254744657986243
164,0.2642620287974516
165,0.27519145546403695
166,0.27862039823241896
167,0.2838062311461349
168,0.289254680248034
169,0.2886636103153514
170,0.2924146849655803
171,0.2878897128950421
172,0.287156733113038
173,0.2860703245767071
174,0.2738123546314879
175,0.27404699248212383
