Timestamps,Signal
1,-0.07218814183378387
2,-0.07224578735829143
3,-0.06882064902962162
4,-0.06638471015587766
5,-0.06592391621781335
6,-0.06918393135125005
7,-0.059468741393115435
8,-0.06428786761497035
9,-0.06314659552646935
10,-0.06250771046753212
11,-0.058391635173886486
12,-0.062052990831794705
13,-0.06140904552617105
14,-0.05868951063159156
15,-0.06095534874166788
16,-0.0609430265439494
17,-0.05988614462768324
18,-0.06518912796583089
19,-0.06079200889756771
20,-0.06493339727747058
21,-0.06753551141724289
22,-0.06621296536064764
23,-0.07279798039234772
24,-0.07396463276053136
25,-0.07198295681564557
26,-0.08090808933276045
27,-0.08273991205059106
28,-0.0819515564953501
29,-0.09053950867879344
30,-0.08958064077574637
31,-0.09442378489514283
32,-0.09625769064277151
33,-0.10209733111022873
34,-0.10338558712873208
35,-0.10380153643684818
36,-0.11135047608351131
37,-0.11093353508236373
38,-0.1135037927691392
39,-0.11821021081184471
40,-0.12005817940218
41,-0.12145925563772902
42,-0.12761699836774323
43,-0.12709604740369582
44,-0.13471114352078317
45,-0.13518043074591007
46,-0.14045126140200745
47,-0.1476381702829478
48,-0.1498707643943437
49,-0.1567876248395092
50,-0.16137426275918526
51,-0.17152851223277513
52,-0.17761966290114528
53,-0.18298730432188126
54,-0.19204771535435572
55,-0.20256637828608975
56,-0.20915464631198472
57,-0.21787906651088684
58,-0.22625098804101856
59,-0.2364217560220896
60,-0.24245912743331416
61,-0.2520941848297076
62,-0.25958973184713896
63,-0.2633770784875531
64,-0.27352455996052627
65,-0.27758443463131943
66,-0.2807536125822932
67,-0.2848814734111732
68,-0.28800570270176207
69,-0.29177787855499054
70,-0.28868249018820147
71,-0.29157981553844814
72,-0.2885887090622833
73,-0.29124089564850897
74,-0.2856036303391086
75,-0.28183291250943354
76,-0.28348288656723364
77,-0.2759856854505832
78,-0.2760260521666992
79,-0.2698400251769507
80,-0.2657079543941451
81,-0.26467706653456646
82,-0.26046170689373094
83,-0.25665649050256134
84,-0.254234898802853
85,-0.24931074791280286
86,-0.24916030187692692
87,-0.24594489810884523
88,-0.23936233343569902
89,-0.2414484836920077
90,-0.2322911027956724
91,-0.23101599046284543
92,-0.22735474947658596
93,-0.21663778940569428
94,-0.2127800386327241
95,-0.20465851431696386
96,-0.19365937383677184
97,-0.1819432762777985
98,-0.17170390302093255
99,-0.15739109406574137
100,-0.13922201865132994
101,-0.12347893937948748
102,-0.10735722118962421
103,-0.08664802771152269
104,-0.06702345993103576
105,-0.047045386433924266
106,-0.02382007255892759
107,-0.0076213488696428786
108,0.01343775035606885
109,0.034680260746350666
110,0.051003989853526194
111,0.06530055960797179
112,0.08173068969867525
113,0.08969060307460344
114,0.10191527581790577
115,0.1082691652362085
116,0.10828837332088165
117,0.10874810431701533
118,0.10688029297057842
119,0.1005127330847454
120,0.0898284443118857
121,0.07686590598974147
122,0.06581649914893237
123,0.04680135494357675
124,0.025755380050477734
125,0.008678308381913555
126,-0.012501014836074648
127,-0.03507876622358208
128,-0.058432904871948514
129,-0.07722974919563072
130,-0.10148115314186476
131,-0.11847370089046169
132,-0.1377910812502074
133,-0.15735900716578827
134,-0.1720424900728855
135,-0.181218835122887
136,-0.19883713839158113
137,-0.20470114157330416
138,-0.21521967095211236
139,-0.22037532388661132
140,-0.22311237171214698
141,-0.2286063912801763
142,-0.23304762590863354
143,-0.2308911695843654
144,-0.23471067795924683
145,-0.2361113957102923
146,-0.23472936782668624
147,-0.2411726162449389
148,-0.24172399441115106
149,-0.24233139994056846
150,-0.250339972224699
151,-0.2572566627797668
152,-0.2584117339889709
153,-0.2684174594087301
154,-0.28180522675162
155,-0.2849602285920577
156,-0.29848912856016585
157,-0.309482335026505
158,-0.3192655961155736
159,-0.33402617456605255
160,-0.3431587518231758
161,-0.35358851980726924
162,-0.3643576776952913
163,-0.375607963935752
164,-0.38203572864070523
165,-0.3896981416521683
166,-0.39581272219560304
167,-0.40195617582646453
168,-0.40026163026736317
169,-0.4050350152217212
170,-0.4069774159502131
171,-0.4029430050444375
172,-0.3985188735316367
173,-0.39882850794464
174,-0.3942365083602889
175,-0.3876712251392558
176,-0.382247676291671
177,-0.3780444919640914
178,-0.3721050067988737
179,-0.36727060666616684
180,-0.3641883205188766
181,-0.3565498493380317
182,-0.3568766281875727
183,-0.3551213961756553
184,-0.35107960293732154
185,-0.3534863634169165
186,-0.35375898032681274
187,-0.3558542123719176
188,-0.3571459120277824
189,-0.36080081453378005
190,-0.3654496029199779
191,-0.3695662251272842
192,-0.37193675391246783
193,-0.37510235257604874
194,-0.38267060819261833
195,-0.3797093380553755
196,-0.3848982461222886
197,-0.3859103523794162
198,-0.38346793162145815
199,-0.38127883315284944
200,-0.3804575228446664
201,-0.3742376460796291
202,-0.3650135910304856
203,-0.3621584889317198
204,-0.35025794982290015
205,-0.3371848235579413
206,-0.32897184874315777
207,-0.31430514170222384
208,-0.3023377233372345
209,-0.28471005487967127
210,-0.2724571485198468
211,-0.25790173766716806
212,-0.2424743153174062
213,-0.22968888898058473
214,-0.21344777982824428
215,-0.2035779463108764
216,-0.19222048697724486
217,-0.17899941732525865
218,-0.17380824067356992
219,-0.16317900274742575
220,-0.15979118853043317
221,-0.15551903472313483
222,-0.1515678040723479
223,-0.1537248465855271
224,-0.15254738864731535
225,-0.1563508339612364
226,-0.16083740258762058
227,-0.16709681028592216
228,-0.17471088413808383
229,-0.18232426346095648
230,-0.19267255350356288
231,-0.20375006148960736
232,-0.21340651556640197
233,-0.2297005741459917
234,-0.23693703528431326
235,-0.2513038257289917
236,-0.2667224642235217
237,-0.2750734817850339
238,-0.2889090274195088
239,-0.2992901377092762
240,-0.3105736907643537
241,-0.320011191879113
242,-0.3271673941270891
243,-0.33640037677737933
244,-0.33899148120349604
245,-0.34539031249722174
246,-0.34878201019670096
247,-0.34771461114863256
248,-0.3468178534232418
249,-0.3481545662803357
250,-0.34260649838044266
251,-0.3359922803795552
252,-0.3323306354346168
253,-0.3255348697538122
254,-0.31377856714916447
255,-0.3075366273344726
256,-0.29853453010151426
257,-0.28574699038792606
258,-0.2774985688846598
259,-0.26764179481898187
260,-0.2552527555707193
261,-0.251294129808343
262,-0.23780682208836118
263,-0.23037537153451976
264,-0.2274888354812915
265,-0.2181456386311113
266,-0.21684964487197955
267,-0.20955138311166646
268,-0.21130591270192764
269,-0.21142523874293317
270,-0.20784571180632067
271,-0.21344520651122956
272,-0.21525761191175136
273,-0.2171914241890911
274,-0.22562512353155958
275,-0.22604242685109066
276,-0.23477620070078534
277,-0.23857547013719083
278,-0.24543355473582787
279,-0.24853276110189707
280,-0.25600400405904195
281,-0.25975037106315046
282,-0.2600893534087034
283,-0.26576384758757876
284,-0.2669550843494098
285,-0.26711926923904206
286,-0.26255593298846663
287,-0.2640221227844009
288,-0.2612174857087132
289,-0.2520949170826585
290,-0.24687985901658566
291,-0.2418935291519278
292,-0.23164805791095938
293,-0.2199053099187187
294,-0.21317669668427813
295,-0.20066321038014448
296,-0.18718186952225585
297,-0.1794783924409726
298,-0.16480548397997818
299,-0.15449706565605287
300,-0.1437755027769623
301,-0.13283390455315836
302,-0.12556314671825047
303,-0.11634230833235512
304,-0.10739683628638333
305,-0.10614262578143048
306,-0.1006648309185054
307,-0.09853927006688926
308,-0.09929495680185114
309,-0.09931536707836976
310,-0.10369799655685302
311,-0.109344335264023
312,-0.11618881087174128
313,-0.12231313848698708
314,-0.13269419709955207
315,-0.14331063410523642
316,-0.1537394628634595
317,-0.16751708808865934
318,-0.17471867760749227
319,-0.19001999684055793
320,-0.20041408381483977
321,-0.21147273109020637
322,-0.2196619988323598
323,-0.22666519470154328
324,-0.23776219667389797
325,-0.24140339997152888
326,-0.24127270093594327
327,-0.2453947439776757
328,-0.24694442462652627
329,-0.24175672058550074
330,-0.23625286026097592
331,-0.23264879695852378
332,-0.2243273647177772
333,-0.21517005237348072
334,-0.20280227772900206
335,-0.19253016332684095
336,-0.18221378806341113
337,-0.16889063941905794
338,-0.15534892537493855
339,-0.14541617770613469
340,-0.1329611547735154
341,-0.12517203592076273
342,-0.11517007746070278
343,-0.10589280916831258
344,-0.10546527357205424
345,-0.09778706022094913
346,-0.09871279011764195
347,-0.09969759173166337
348,-0.10026473750377592
349,-0.10965173200967779
350,-0.1123673643628674
351,-0.12487501612741093
352,-0.1331746980439963
353,-0.1485919211401616
354,-0.15851337335660154
355,-0.17678255451855723
356,-0.18952983144694602
357,-0.20674594466863883
358,-0.22496675600320115
359,-0.23698644816074962
360,-0.25484557926880136
361,-0.2701223062737481
362,-0.28570609580222395
363,-0.2974247054369764
364,-0.30734207474957037
365,-0.3220360580862611
366,-0.32984872125403714
367,-0.3360752838247937
368,-0.3411422136168438
369,-0.3495850778060502
370,-0.3467551082728064
371,-0.3496506896832592
372,-0.34964898194962457
373,-0.34406123877072137
374,-0.34237261832147836
375,-0.3357019266279632
376,-0.33037205425304017
377,-0.31847491385766324
378,-0.31274091977711704
379,-0.3032391729339408
380,-0.29185496074816414
381,-0.2766455219522229
382,-0.2715445227276231
383,-0.2586491467264054
384,-0.24353709065307821
385,-0.2320700451093819
386,-0.22574206412762587
387,-0.21050260173738716
388,-0.19967815117042328
389,-0.19256606145469302
390,-0.18244278677047265
391,-0.1722479076497811
392,-0.16582893003390653
393,-0.16007374907079186
394,-0.15486127287576051
395,-0.1471231825849818
396,-0.1446437445498182
397,-0.14158257388182446
398,-0.14036901738367297
399,-0.13766798772710986
400,-0.13727928251717492
401,-0.13470663061694643
402,-0.14029114672542642
403,-0.13743094214910975
404,-0.13851862714921423
405,-0.1416800314467837
406,-0.1426337189593683
407,-0.14634228306618585
408,-0.14623443255608742
409,-0.14899470574305818
410,-0.15254340163325814
411,-0.15236213598859347
412,-0.1586420107315672
413,-0.15818020041419914
414,-0.15649656980195303
415,-0.1658783786053141
416,-0.1651368126211083
417,-0.1661451764397911
418,-0.16743132918553044
419,-0.17199987545283502
420,-0.1761966015425524
421,-0.17398685117793103
422,-0.1781832469576061
423,-0.18470391826491625
424,-0.18406174837650274
425,-0.1899336379753832
426,-0.19116527329899408
427,-0.1992205732705758
428,-0.20027358598254763
429,-0.20672403783540566
430,-0.21389568499698736
431,-0.2155747741378124
432,-0.22230434330975865
433,-0.23202933309621462
434,-0.23569390302645524
435,-0.24021065031560218
436,-0.2519569653859739
437,-0.25458823069067615
438,-0.26337875907472086
439,-0.2694490430380671
440,-0.27714824540430094
441,-0.284479657014029
442,-0.28771047482943246
443,-0.2980964462102256
444,-0.3023426611709876
445,-0.3078848605255972
446,-0.3122170618694894
447,-0.32099485414588724
448,-0.3226533717794583
