timestamp,Señal Suavizada
50.6,-0.02573605661294035
50.601,-0.05168042791424215
50.602,-0.07782739726969938
50.603,-0.10416574793888284
50.604,-0.13067918599814846
50.605,-0.13161089422641362
50.606,-0.1324641583553054
50.607,-0.13321743986629972
50.608,-0.13385288216666852
50.609,-0.13435690916999643
50.61,-0.1347206277153628
50.611,-0.13494001440753714
50.612,-0.13501587446458493
50.613,-0.1349535733681805
50.614,-0.13476254856178577
50.615,-0.1344556226467513
50.616,-0.1340481471189609
50.617,-0.13355701666549227
50.618,-0.13299960006206915
50.619,-0.13239264206601295
50.62,-0.1317511929835987
50.621,-0.13108762517239958
50.622,-0.13041079479947773
50.623,-0.12972540168368157
50.624,-0.12903159535773573
50.625,-0.12832486322942074
50.626,-0.1275962265329718
50.627,-0.1268327538091555
50.628,-0.12601838689886663
50.629,-0.12513505547470327
50.63,-0.12416404218911778
50.631,-0.12308754158707025
50.632,-0.12189034351345751
50.633,-0.12056155953404728
50.634,-0.11909630394058027
50.635,-0.11749723534270222
50.636,-0.11577586878232154
50.637,-0.11395357199278223
50.638,-0.11206217231077936
50.639,-0.11014411503267256
50.64,-0.10825213547161561
50.641,-0.10644842933561491
50.642,-0.10480333083498822
50.643,-0.10339353487201763
50.644,-0.10229992416287566
50.645,-0.10160508594056927
50.646,-0.10139062041905017
50.647,-0.10173436052252553
50.648,-0.1027076278684455
50.649,-0.10437265443770789
50.65,-0.10678029132044554
50.651,-0.10996811673534565
50.652,-0.11395903459184274
50.653,-0.11876043255467011
50.654,-0.1243639376915644
50.655,-0.13074577981323982
50.656,-0.13786773824685167
50.657,-0.1456786177225753
50.658,-0.15411617055599303
50.659,-0.16310936053417333
50.66,-0.17258084457661366
50.661,-0.1824495393872998
50.662,-0.19263313780614835
50.663,-0.20305044625990112
50.664,-0.21362342858336664
50.665,-0.22427886157274576
50.666,-0.23494953545767178
50.667,-0.24557496389082933
50.668,-0.25610159867762217
50.669,-0.26648257983190193
50.67,-0.2766770814019923
50.671,-0.2866493417005674
50.672,-0.29636748568386473
50.673,-0.30580226356883583
50.674,-0.3149258325193677
50.675,-0.3237107073279273
50.676,-0.3321289915718654
50.677,-0.3401519821215552
50.678,-0.3477502122404195
50.679,-0.35489396593320666
50.68,-0.3615542600550502
50.681,-0.3677042532424225
50.682,-0.37332100624864395
50.683,-0.3783874843694265
50.684,-0.3828946661880024
50.685,-0.3868436047245336
50.686,-0.39024727718235613
50.687,-0.39313205777278426
50.688,-0.39553866083400974
50.689,-0.3975224216262336
50.69,-0.3991528124009057
50.691,-0.40051212943408127
50.692,-0.40169333276426095
50.693,-0.40279706716836616
50.694,-0.40392794453558484
50.695,-0.40519021468068533
50.696,-0.40668299723854
50.697,-0.4084952832930505
50.698,-0.4107009439888435
50.699,-0.41335399967390885
50.7,-0.4164844079546615
50.701,-0.4200946182676545
50.702,-0.42415711886269614
50.703,-0.42861316481035344
50.704,-0.4333728277222445
50.705,-0.4383164524110008
50.706,-0.4432975382940001
50.707,-0.4481469969347496
50.708,-0.45267866702985177
50.709,-0.4566959027650288
50.71,-0.459998987843838
50.711,-0.4623930816957045
50.712,-0.4636963612517711
50.713,-0.46374800350325707
50.714,-0.462415642407031
50.715,-0.4596019483641791
50.716,-0.45525000427328277
50.717,-0.4493471998576475
50.718,-0.4419274219939559
50.719,-0.4330713946714571
50.72,-0.4229051013572072
50.721,-0.41159630947095777
50.722,-0.399349303674429
50.723,-0.38639801978587784
50.724,-0.37299784820785675
50.725,-0.35941643815299207
50.726,-0.34592388799811047
50.727,-0.3327827373216041
50.728,-0.3202381894104528
